"REFERENCE";"MARQUE";"CODE BARRE";"NOM";"DESCRIPTION COURTE";"DESCRIPTION LONGUE";"PRIX HT";"CATEGORY";"QTY";"IMG";"WEIGHT";"INVISIBLE"
"demo_1";"Studio Design";"3664142046820";"Hummingbird printed t-shirt";"<p>Symbol of lightness and delicacy, the hummingbird evokes curiosity and joy. Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</p>";"<p>Regular fit, round neckline, short sleeves. Made of extra long staple pima cotton. </p>
<p></p>";"20.076";"men";"2102";"localhost/shop/2-home_default/u.jpg";"0.3";"1"
"demo_3";"Studio Design";"3664142046821";"Hummingbird printed sweater";"<p>Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</p>";"<p>Regular fit, round neckline, long sleeves. 100% cotton, brushed inner side for extra comfort. </p>";"30.156";"women";"2100";"localhost/shop/21-home_default/r.jpg";"0.3";"1"
"demo_6";"Graphic Corner";"3664142046822";"The best is yet to come' Framed poster";"<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>";"<p>Printed on rigid matt paper and smooth surface.</p>";"30.45";"art";"1500";"localhost/shop/3-home_default/h.jpg";"0.3";"1"
"demo_5";"Graphic Corner";"3664142046823";"The adventure begins Framed poster";"<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>";"<p>Printed on rigid matt finish and smooth surface.</p>";"30.45";"art";"1500";"localhost/shop/4-home_default/h.jpg";"0.3";"0"
"demo_7";"Graphic Corner";"3664142046824";"Today is a good day Framed poster";"<p>The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</p>";"<p>Printed on rigid paper with matt finish and smooth surface.</p>";"30.45";"art";"900";"localhost/shop/5-home_default/o.jpg";"0.3";"1"
"demo_11";"Studio Design";"3664142046825";"Mug The best is yet to come";"<p>The best is yet to come! Start the day off right with a positive thought. 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>";"<p>White Ceramic Mug, 325ml.</p>";"12.495";"home-accessories";"5";"localhost/shop/6-home_default/u.jpg";"0.3";"1"
"demo_12";"Studio Design";"3664142046826";"Mug The adventure begins";"<p>The adventure begins with a cup of coffee. Set out to conquer the day! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>";"<p>White Ceramic Mug. 325ml</p>";"12.495";"home-accessories";"4";"localhost/shop/7-home_default/u.jpg";"0.3";"1"
"demo_13";"Studio Design";"3664142046827";"Mug Today is a good day";"<p>Add an optimistic touch to your morning coffee and start the day in a good mood! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</p>";"<p>White Ceramic Mug. 325ml</p>";"12.495";"home-accessories";"";"localhost/shop/8-home_default/u.jpg";"0.3";"1"
"demo_15";"Studio Design";"3664142046828";"Mountain fox cushion";"<p>The mountain fox cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>";"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>";"19.845";"home-accessories";"600";"localhost/shop/10-home_default/o.jpg";"0.3";"1"
"demo_16";"Studio Design";"";"Brown bear cushion";"<p>The brown bear cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>";"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>";"19.845";"home-accessories";"600";"localhost/shop/12-home_default/r.jpg";"0.3";"1"
"demo_17";"Studio Design";"";"Hummingbird cushion";"<p>The hummingbird cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</p>";"<p>Cushion with removable cover and invisible zip on the back. 32x32cm</p>";"19.845";"home-accessories";"600";"localhost/shop/14-home_default/u.jpg";"0.3";"1"
"demo_18";"Graphic Corner";"";"Mountain fox - Vector graphics";"<p>You have a custom printing creative project? The vector graphic Mountain fox illustration can be used for printing purpose on any support, without size limitation. </p>";"<p>Vector graphic, format: svg. Download for personal, private and non-commercial use.</p>";"9.45";"art";"300";"localhost/shop/15-home_default/o.jpg";"0.3";"1"
"demo_19";"Graphic Corner";"";"Brown bear - Vector graphics";"<p>You have a custom printing creative project? The vector graphic Mountain fox illustration can be used for printing purpose on any support, without size limitation. </p>";"<p>Vector graphic, format: svg. Download for personal, private and non-commercial use.</p>";"9.45";"art";"300";"localhost/shop/16-home_default/r.jpg";"0.3";"1"
"demo_20";"Graphic Corner";"";"Hummingbird - Vector graphics";"<p>You have a custom printing creative project? The vector graphic Mountain fox illustration can be used for printing purpose on any support, without size limitation. </p>";"<p>Vector graphic, format: svg. Download for personal, private and non-commercial use.</p>";"9.45";"art";"300";"localhost/shop/17-home_default/u.jpg";"0.3";"1"
"demo_21";"";"";"Pack Mug + Framed poster";"";"<p>Mug The Adventure Begins + Framed poster Today is a good day 40x60cm </p>";"36.75";"home-accessories";"3";"localhost/shop/23-home_default/a.jpg";"0.3";"1"
"demo_8";"Graphic Corner";"";"Mountain fox notebook";"<p>The Mountain fox notebook is the best option to write down your most ingenious ideas. At work, at home or when traveling, its endearing design and manufacturing quality will make you feel like writing! 90 gsm paper / double spiral binding.</p>";"<p>120 sheets notebook with hard cover made of recycled cardboard. 16x22cm</p>";"13.545";"stationery";"1200";"localhost/shop/18-home_default/o.jpg";"0.3";"1"
"demo_9";"Graphic Corner";"";"Brown bear notebook";"<p>The Mountain fox notebook is the best option to write down your most ingenious ideas. At work, at home or when traveling, its endearing design and manufacturing quality will make you feel like writing! 90 gsm paper / double spiral binding.</p>";"<p>120 sheets notebook with hard cover made of recycled cardboard. 16x22cm</p>";"13.545";"stationery";"1200";"localhost/shop/19-home_default/r.jpg";"0.3";"1"
"demo_10";"Graphic Corner";"";"Hummingbird notebook";"<p>The Mountain fox notebook is the best option to write down your most ingenious ideas. At work, at home or when traveling, its endearing design and manufacturing quality will make you feel like writing! 90 gsm paper / double spiral binding.</p>";"<p>120 sheets notebook with hard cover made of recycled cardboard. 16x22cm</p>";"13.545";"stationery";"1200";"localhost/shop/20-home_default/u.jpg";"0.3";"1"
"demo_14";"Studio Design";"";"Customizable mug";"<p>Customize your mug with the text of your choice. A mood, a message, a quote... It's up to you! Maximum number of characters: ---</p>";"<p>White Ceramic Mug. 325ml</p>";"14.595";"home-accessories";"300";"localhost/shop/22-home_default/u.jpg";"0.3";"1"
